"","ime","leto","stevilo","spol"
"321","Bafti",2008,13,"moski"
"322","Bahri",2008,12,"moski"
"323","Bahrija",2008,28,"moski"
"324","Bahrudin",2008,24,"moski"
"325","Bajram",2008,150,"moski"
"326","Bajro",2008,125,"moski"
"327","Bajrush",2008,7,"moski"
"328","Baki",2008,16,"moski"
"329","Bakir",2008,9,"moski"
"330","Baldomir",2008,8,"moski"
"331","Baltazar",2008,16,"moski"
"332","Balazs",2008,6,"moski"
"333","Bane",2008,6,"moski"
"334","Bare",2008,13,"moski"
"335","Bart",2008,5,"moski"
"336","Bartol",2008,5,"moski"
"337","Bashkim",2008,47,"moski"
"338","Basri",2008,12,"moski"
"339","Bastian",2008,20,"moski"
"340","Baskim",2008,22,"moski"
"341","Bazilij",2008,10,"moski"
"342","Beat",2008,5,"moski"
"343","Bedri",2008,43,"moski"
"344","Bedzet",2008,5,"moski"
"345","Began",2008,13,"moski"
"346","Bego",2008,52,"moski"
"347","Behar",2008,21,"moski"
"348","Behxhet",2008,5,"moski"
"349","Bejadin",2008,6,"moski"
"350","Bejtula",2008,6,"moski"
"351","Bekim",2008,117,"moski"
"352","Bekir",2008,25,"moski"
"353","Bekri",2008,5,"moski"
"354","Bela",2008,140,"moski"
"355","Belmin",2008,37,"moski"
"356","Ben",2008,23,"moski"
"357","Benedikt",2008,84,"moski"
"358","Beni",2008,10,"moski"
"359","Benito",2008,10,"moski"
"360","Benjamin",2008,2095,"moski"
"361","Beno",2008,444,"moski"
"362","Berat",2008,23,"moski"
"363","Berin",2008,8,"moski"
"364","Berislav",2008,28,"moski"
"365","Beriz",2008,6,"moski"
"366","Bernad",2008,6,"moski"
"367","Bernard",2008,823,"moski"
"368","Bernardo",2008,18,"moski"
"369","Bernd",2008,5,"moski"
"370","Bernhard",2008,5,"moski"
"371","Bert",2008,22,"moski"
"372","Berti",2008,9,"moski"
"373","Berto",2008,31,"moski"
"374","Bertold",2008,5,"moski"
"375","Besar",2008,9,"moski"
"376","Besart",2008,15,"moski"
"377","Besim",2008,193,"moski"
"378","Besir",2008,11,"moski"
"379","Besmir",2008,18,"moski"
"380","Besnik",2008,63,"moski"
"381","Besir",2008,18,"moski"
"382","Betim",2008,10,"moski"
"383","Bexhet",2008,8,"moski"
"384","Becir",2008,65,"moski"
"385","Beqir",2008,17,"moski"
"386","Beco",2008,11,"moski"
"387","Bian",2008,11,"moski"
"388","Bilal",2008,18,"moski"
"389","Binak",2008,8,"moski"
"390","Bine",2008,223,"moski"
"391","Bislim",2008,9,"moski"
"392","Blago",2008,7,"moski"
"393","Blagoj",2008,37,"moski"
"394","Blagoja",2008,37,"moski"
"395","Blagojce",2008,8,"moski"
"396","Blagojco",2008,14,"moski"
"397","Blagoje",2008,77,"moski"
"398","Blagomir",2008,5,"moski"
"399","Blagoy",2008,5,"moski"
"400","Blasko",2008,12,"moski"
"401","Blaz",2008,6417,"moski"
"402","Blazan",2008,5,"moski"
"403","Blaze",2008,24,"moski"
"404","Blazenko",2008,11,"moski"
"405","Blazo",2008,30,"moski"
"406","Bledar",2008,8,"moski"
"407","Blendi",2008,6,"moski"
"408","Blerim",2008,62,"moski"
"409","Blerton",2008,6,"moski"
"410","Boban",2008,109,"moski"
"411","Bobi",2008,5,"moski"
"412","Bogdan",2008,2418,"moski"
"413","Bogo",2008,43,"moski"
"414","Bogoja",2008,5,"moski"
"415","Bogoljub",2008,98,"moski"
